F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.4114840030670166,,0.14955247938632965,,0.40704625844955444,,0.45058995485305786,0,40,,0.9674549102783203
0.29654425382614136,,-0.028605882078409195,,0.2949361503124237,,0.37731051445007324,,0,40,1.0224324464797974,
,0.40085428953170776,,0.1896679401397705,,0.4248049259185791,,0.4574217200279236,1,81,,0.9054625630378723
0.3792995512485504,,0.15091344714164734,,0.40812626481056213,,0.46314817667007446,,1,81,0.9495500922203064,
,0.4864918291568756,,0.34420984983444214,,0.494474321603775,,0.537318229675293,2,122,,0.8542838096618652
0.5278826355934143,,0.3474056124687195,,0.5418255925178528,,0.5857364535331726,,2,122,0.8095502853393555,
,0.4056544899940491,,0.21517637372016907,,0.4072194993495941,,0.4672192633152008,3,163,,1.1951290369033813
0.6160261034965515,,0.501806914806366,,0.6231034398078918,,0.6647230982780457,,3,163,0.6041272282600403,
,0.4180442690849304,,0.2185148447751999,,0.47809919714927673,,0.4209268093109131,4,204,,1.0527430772781372
0.7347394824028015,,0.6379282474517822,,0.7687383890151978,,0.7572229504585266,,4,204,0.4711940586566925,
,0.44974955916404724,,0.27904820442199707,,0.47358736395835876,,0.47146502137184143,5,245,,1.2740352153778076
0.875537633895874,,0.823034942150116,,0.8870846629142761,,0.8813173174858093,,5,245,0.1924627125263214,
,0.41422897577285767,,0.23459868133068085,,0.4333183169364929,,0.4283143877983093,6,286,,1.507051706314087
0.9479100108146667,,0.8966056108474731,,0.951464056968689,,0.9517955183982849,,6,286,0.0935274213552475,
,0.4864918291568756,,0.34420984983444214,,0.494474321603775,,0.537318229675293,7,287,,0.8542838096618652
