evaluation,metric,average,DIRECT,NO,JUDGEMENTAL
EVALUATION_1,ICM,-0.6302202950626556,,,
EVALUATION_1,ICM-Norm,0.27773915614521133,,,
EVALUATION_1,F1,0.3939814814814815,0.5777777777777777,0.6041666666666666,0.0
EVALUATION_1,Pr,0.5527391975308642,0.5617283950617284,0.54375,
EVALUATION_1,Re,0.42481958061002184,0.5947712418300654,0.6796875,0.0
EVALUATION_2,ICM,-0.38658955975243614,,,
EVALUATION_2,ICM-Norm,0.3636608144022317,,,
EVALUATION_2,F1,0.4411956563447297,0.684931506849315,0.6386554621848739,0.0
EVALUATION_2,Pr,0.6402658662092624,0.589622641509434,0.6909090909090909,
EVALUATION_2,Re,0.47024782135076254,0.8169934640522876,0.59375,0.0
EVALUATION_3,ICM,-0.4470102294156331,,,
EVALUATION_3,ICM-Norm,0.3423521559365781,,,
EVALUATION_3,F1,0.42935651918702766,0.6168831168831169,0.6711864406779661,0.0
EVALUATION_3,Pr,0.6028587985319683,0.6129032258064516,0.592814371257485,
EVALUATION_3,Re,0.46478417755991286,0.6209150326797386,0.7734375,0.0
EVALUATION_4,ICM,-0.7550479525491458,,,
EVALUATION_4,ICM-Norm,0.23465719838881055,,,
EVALUATION_4,F1,0.35251433906896096,0.42448979591836733,0.6330532212885155,0.0
EVALUATION_4,Pr,0.5282608695652173,0.5652173913043478,0.49130434782608695,
EVALUATION_4,Re,0.4098776868577702,0.33986928104575165,0.889763779527559,0.0
EVALUATION_5,ICM,-0.403961992281612,,,
EVALUATION_5,ICM-Norm,0.3581176152935396,,,
EVALUATION_5,F1,0.4402196873679763,0.6666666666666666,0.6539923954372623,0.0
EVALUATION_5,Pr,0.6206575559516736,0.6042780748663101,0.6370370370370371,
EVALUATION_5,Re,0.471765350877193,0.743421052631579,0.671875,0.0
average,F1,0.4114535366900352,0.5941497728190488,0.6402108372510569,0.0
average,ICM,-0.5245660058122965,,,
average,ICM-Norm,0.31530538803327424,,,
average,Pr,0.5889564575577972,0.5867499457096544,0.5911629694059399,
average,Re,0.44829892345113204,0.6231940144478845,0.7217027559055118,0.0
