evaluation,metric,average
EVALUATION_1,ICM-Soft,-2.28417116112145
EVALUATION_1,ICM-Soft-Norm,0.26990273162697986
EVALUATION_1,CE,1.5188019447094596
EVALUATION_2,ICM-Soft,-1.434924234397038
EVALUATION_2,ICM-Soft-Norm,0.35267955626291336
EVALUATION_2,CE,1.4621220610958545
EVALUATION_3,ICM-Soft,-1.9126708581742318
EVALUATION_3,ICM-Soft-Norm,0.30641678610158174
EVALUATION_3,CE,1.4929173814390144
EVALUATION_4,ICM-Soft,-2.242749286778292
EVALUATION_4,ICM-Soft-Norm,0.27497136381306975
EVALUATION_4,CE,1.5910938132191184
EVALUATION_5,ICM-Soft,-1.8772833315877089
EVALUATION_5,ICM-Soft-Norm,0.3063110503716511
EVALUATION_5,CE,1.533390916515074
average,CE,1.5196652233957042
average,ICM-Soft,-1.9503597744117442
average,ICM-Soft-Norm,0.30205629763523917
