evaluation,metric,average,JUDGEMENTAL,NO,DIRECT
EVALUATION_1,ICM,-0.8409538217299992,,,
EVALUATION_1,ICM-Norm,0.21330818390221196,,,
EVALUATION_1,F1,0.36538461538461536,0.0,0.5833333333333333,0.5128205128205128
EVALUATION_1,Pr,0.5049475559073817,,0.558282208588957,0.45161290322580644
EVALUATION_1,Re,0.40131953133886933,0.0,0.610738255033557,0.5932203389830508
EVALUATION_2,ICM,-0.972178343589437,,,
EVALUATION_2,ICM-Norm,0.16857208125741668,,,
EVALUATION_2,F1,0.3396064679524644,0.0,0.5103448275862068,0.5084745762711864
EVALUATION_2,Pr,0.4742757542973915,,0.524822695035461,0.423728813559322
EVALUATION_2,Re,0.3774125052136655,0.0,0.4966442953020134,0.635593220338983
EVALUATION_3,ICM,-0.8334916029190151,,,
EVALUATION_3,ICM-Norm,0.2151255932283801,,,
EVALUATION_3,F1,0.3997176619280505,0.0983606557377049,0.5425101214574899,0.558282208588957
EVALUATION_3,Pr,0.46463358070500926,0.2727272727272727,0.6836734693877551,0.4375
EVALUATION_3,Re,0.42695029006938917,0.06,0.44966442953020136,0.7711864406779662
EVALUATION_4,ICM,-0.9998248694274934,,,
EVALUATION_4,ICM-Norm,0.15851522610687155,,,
EVALUATION_4,F1,0.33318056290028797,0.0,0.49462365591397855,0.5049180327868853
EVALUATION_4,Pr,0.47034802593778213,,0.5267175572519084,0.41397849462365593
EVALUATION_4,Re,0.3710916799152093,0.0,0.46621621621621623,0.6470588235294118
EVALUATION_5,ICM,-0.8867326276173094,,,
EVALUATION_5,ICM-Norm,0.1979422237493264,,,
EVALUATION_5,F1,0.3516977522716404,0.0,0.49411764705882355,0.5609756097560976
EVALUATION_5,Pr,0.513440142412105,,0.5887850467289719,0.4380952380952381
EVALUATION_5,Re,0.4017788975416094,0.0,0.42567567567567566,0.7796610169491526
average,F1,0.35791741208741173,0.019672131147540982,0.5249859170699664,0.5290941880447277
average,ICM,-0.9066362530566507,,,
average,ICM-Norm,0.19069266164884133,,,
average,Pr,0.4855290118519339,0.2727272727272727,0.5764561953986107,0.43298308990080453
average,Re,0.3957105808157485,0.012,0.48978777435153276,0.6853439680957129
