evaluation,metric,average,DIRECT,NO,JUDGEMENTAL
EVALUATION_1,ICM,-0.8530078056969265,,,
EVALUATION_1,ICM-Norm,0.1991683127404336,,,
EVALUATION_1,F1,0.3237556561085973,0.6225490196078433,0.3487179487179487,0.0
EVALUATION_1,Pr,0.5027509511267194,0.4980392156862745,0.5074626865671642,
EVALUATION_1,Re,0.36523011982570813,0.8300653594771242,0.265625,0.0
EVALUATION_2,ICM,-0.632008871614289,,,
EVALUATION_2,ICM-Norm,0.2771083758660307,,,
EVALUATION_2,F1,0.449202456559559,0.6140350877192983,0.5483870967741935,0.18518518518518517
EVALUATION_2,Pr,0.5022792022792023,0.5555555555555556,0.5666666666666667,0.38461538461538464
EVALUATION_2,Re,0.44649190977203884,0.6862745098039216,0.53125,0.12195121951219512
EVALUATION_3,ICM,-0.8206244308470503,,,
EVALUATION_3,ICM-Norm,0.21058901162523203,,,
EVALUATION_3,F1,0.3558525393602701,0.5637982195845698,0.5037593984962405,0.0
EVALUATION_3,Pr,0.5009057971014492,0.5163043478260869,0.4855072463768116,
EVALUATION_3,Re,0.38145084422657954,0.6209150326797386,0.5234375,0.0
EVALUATION_4,ICM,-0.8566845273645515,,,
EVALUATION_4,ICM-Norm,0.19893955500386326,,,
EVALUATION_4,F1,0.3654257484044718,0.4981684981684982,0.5555555555555555,0.0425531914893617
EVALUATION_4,Pr,0.4078398195149464,0.5666666666666667,0.45685279187817257,0.2
EVALUATION_4,Re,0.39230512852560095,0.4444444444444444,0.7086614173228346,0.023809523809523808
EVALUATION_5,ICM,-0.7778191840026947,,,
EVALUATION_5,ICM-Norm,0.226808851314404,,,
EVALUATION_5,F1,0.3650588525501544,0.5255972696245734,0.5695792880258899,0.0
EVALUATION_5,Pr,0.5161435680420046,0.5460992907801419,0.4861878453038674,
EVALUATION_5,Re,0.3980263157894737,0.506578947368421,0.6875,0.0
average,F1,0.3718590505966105,0.5648296189409565,0.5051998575139656,0.045547675334909374
average,ICM,-0.7880289639051024,,,
average,ICM-Norm,0.2225228213099927,,,
average,Pr,0.4859838676128644,0.5365330153029451,0.5005354473585365,0.2923076923076923
average,Re,0.39670086362788026,0.6176556587547299,0.5432947834645669,0.029152148664343784
