evaluation,metric,average
EVALUATION_1,ICM-Soft,-2.5300149181885083
EVALUATION_1,ICM-Soft-Norm,0.245137522298307
EVALUATION_1,CE,1.511641691337476
EVALUATION_2,ICM-Soft,-2.0600771601205476
EVALUATION_2,ICM-Soft-Norm,0.28849651146276384
EVALUATION_2,CE,1.463839047426284
EVALUATION_3,ICM-Soft,-2.506324353997843
EVALUATION_3,ICM-Soft-Norm,0.2463325582416635
EVALUATION_3,CE,1.5300090202870813
EVALUATION_4,ICM-Soft,-2.4290679474062733
EVALUATION_4,ICM-Soft-Norm,0.2562768827382287
EVALUATION_4,CE,1.537937388710825
EVALUATION_5,ICM-Soft,-2.4185050524919802
EVALUATION_5,ICM-Soft-Norm,0.25047042957982996
EVALUATION_5,CE,1.5525954070463222
average,CE,1.5192045109615977
average,ICM-Soft,-2.38879788644103
average,ICM-Soft-Norm,0.25734278086415857
