evaluation,metric,average,DIRECT,NO,JUDGEMENTAL
EVALUATION_1,ICM,-1.0479030062320227,,,
EVALUATION_1,ICM-Norm,0.13869202272661157,,,
EVALUATION_1,F1,0.2780134323082361,0.573170731707317,0.2608695652173913,0.0
EVALUATION_1,Pr,0.4777617646470106,0.42805100182149364,0.5274725274725275,
EVALUATION_1,Re,0.34681462338089086,0.8671586715867159,0.17328519855595667,0.0
EVALUATION_2,ICM,-1.0823768780539607,,,
EVALUATION_2,ICM-Norm,0.1268057271222562,,,
EVALUATION_2,F1,0.2794642923485348,0.561314791403287,0.27707808564231734,0.0
EVALUATION_2,Pr,0.4426282051282051,0.4269230769230769,0.4583333333333333,
EVALUATION_2,Re,0.3392480495202064,0.8191881918819188,0.19855595667870035,0.0
EVALUATION_3,ICM,-1.0176701584060384,,,
EVALUATION_3,ICM-Norm,0.1492070885321642,,,
EVALUATION_3,F1,0.301581028897885,0.5658409387222947,0.33890214797136037,0.0
EVALUATION_3,Pr,0.4670017482517482,0.4375,0.4965034965034965,
EVALUATION_3,Re,0.3526614613972227,0.8007380073800738,0.2572463768115942,0.0
EVALUATION_4,ICM,-0.9776195270443935,,,
EVALUATION_4,ICM-Norm,0.16301262018249962,,,
EVALUATION_4,F1,0.3106684981684982,0.5714285714285714,0.3605769230769231,0.0
EVALUATION_4,Pr,0.4882980246206699,0.4408817635270541,0.5357142857142857,
EVALUATION_4,Re,0.3611824161719878,0.8118081180811808,0.2717391304347826,0.0
EVALUATION_5,ICM,-0.9832231141518393,,,
EVALUATION_5,ICM-Norm,0.16108105265067438,,,
EVALUATION_5,F1,0.3096145188083151,0.5725490196078431,0.35629453681710216,0.0
EVALUATION_5,Pr,0.4802806086835125,0.4433198380566802,0.5172413793103449,
EVALUATION_5,Re,0.35995240387186483,0.8081180811808119,0.2717391304347826,0.0
average,F1,0.2958683541062938,0.5688608105738626,0.31874425174501886,0.0
average,ICM,-1.021758536777651,,,
average,ICM-Norm,0.14775970224284118,,,
average,Pr,0.4711940702662293,0.43533513606566093,0.5070530044667976,
average,Re,0.3519717908684345,0.8214022140221402,0.2345131585831633,0.0
