evaluation,metric,average
EVALUATION_1,ICM-Soft,-2.7348382946345273
EVALUATION_1,ICM-Soft-Norm,0.21923659719199595
EVALUATION_1,CE,1.6097627908847216
EVALUATION_2,ICM-Soft,-2.533241678789764
EVALUATION_2,ICM-Soft-Norm,0.2400073325858979
EVALUATION_2,CE,1.571206365569041
EVALUATION_3,ICM-Soft,-2.459521087135518
EVALUATION_3,ICM-Soft-Norm,0.2459095244280596
EVALUATION_3,CE,1.5630485361602136
EVALUATION_4,ICM-Soft,-2.4604632695218744
EVALUATION_4,ICM-Soft-Norm,0.24391767953722443
EVALUATION_4,CE,1.5810651143033116
EVALUATION_5,ICM-Soft,-2.4860741006831035
EVALUATION_5,ICM-Soft-Norm,0.24183756169204326
EVALUATION_5,CE,1.5840719987620757
average,CE,1.5818309611358727
average,ICM-Soft,-2.5348276861529575
average,ICM-Soft-Norm,0.23818173908704426
