evaluation,metric,average
EVALUATION_1,ICM-Soft,-1.26924452166708
EVALUATION_1,ICM-Soft-Norm,0.3653937574730086
EVALUATION_1,CE,1.4517038390628705
EVALUATION_2,ICM-Soft,-1.2344031189279805
EVALUATION_2,ICM-Soft-Norm,0.36676456151712267
EVALUATION_2,CE,1.4428070468839453
EVALUATION_3,ICM-Soft,-1.640603719743964
EVALUATION_3,ICM-Soft-Norm,0.32748040441757936
EVALUATION_3,CE,1.4880369180043729
EVALUATION_4,ICM-Soft,-1.5368600727038475
EVALUATION_4,ICM-Soft-Norm,0.3372698625871004
EVALUATION_4,CE,1.4782605483182742
EVALUATION_5,ICM-Soft,-1.3505942807841922
EVALUATION_5,ICM-Soft-Norm,0.35720014364778185
EVALUATION_5,CE,1.4860054219821834
average,CE,1.4693627548503294
average,ICM-Soft,-1.4063411427654127
average,ICM-Soft-Norm,0.3508217459285186
