evaluation,metric,average,DIRECT,JUDGEMENTAL,NO
EVALUATION_1,ICM,-0.31579697912717064,,,
EVALUATION_1,ICM-Norm,0.3860053629139677,,,
EVALUATION_1,F1,0.36940176528277213,0.5864661654135338,0.0,0.5217391304347826
EVALUATION_1,Pr,0.47568035625927757,0.4978723404255319,,0.45348837209302323
EVALUATION_1,Re,0.4425292874975994,0.7134146341463414,0.0,0.6141732283464567
EVALUATION_2,ICM,-0.558810475193625,,,
EVALUATION_2,ICM-Norm,0.3015719337080383,,,
EVALUATION_2,F1,0.32694068660481346,0.48929663608562685,0.0,0.4915254237288136
EVALUATION_2,Pr,0.41711130872980584,0.4624277456647399,,0.3717948717948718
EVALUATION_2,Re,0.41482683982683977,0.5194805194805194,0.0,0.725
EVALUATION_3,ICM,-0.5334070140960555,,,
EVALUATION_3,ICM-Norm,0.31434662992261825,,,
EVALUATION_3,F1,0.32855723640955686,0.43205574912891986,0.0,0.5536159600997507
EVALUATION_3,Pr,0.42374517374517373,0.4189189189189189,,0.42857142857142855
EVALUATION_3,Re,0.40924443543756545,0.4460431654676259,0.0,0.7816901408450704
EVALUATION_4,ICM,-0.23579096877684308,,,
EVALUATION_4,ICM-Norm,0.41755466186864104,,,
EVALUATION_4,F1,0.3844923788786064,0.5568862275449102,0.0,0.5965909090909091
EVALUATION_4,Pr,0.4881434002729577,0.5054347826086957,,0.47085201793721976
EVALUATION_4,Re,0.477984496124031,0.62,0.0,0.813953488372093
EVALUATION_5,ICM,-0.41350742964661036,,,
EVALUATION_5,ICM-Norm,0.3552416649892474,,,
EVALUATION_5,F1,0.35865384615384616,0.5375,0.0,0.5384615384615384
EVALUATION_5,Pr,0.4654497715165745,0.5276073619631901,,0.40329218106995884
EVALUATION_5,Re,0.45256268533628113,0.5477707006369427,0.0,0.8099173553719008
average,F1,0.353609182665919,0.5204409556345981,0.0,0.5403865923631589
average,ICM,-0.4114625733680609,,,
average,ICM-Norm,0.3549440506805025,,,
average,Pr,0.45402600210475785,0.4824522299162153,,0.4255997742933005
average,Re,0.4394295488444634,0.5693418039462859,0.0,0.7489468425871042
