epoch,step,train_loss,val_loss
0,50,,1.0581225156784058
0,50,1.0815714597702026,
1,101,,1.0549242496490479
1,101,1.0531922578811646,
2,152,,1.0461313724517822
2,152,1.0454145669937134,
3,203,,1.0312623977661133
3,203,1.01699960231781,
4,254,,1.0384827852249146
4,254,0.9620151519775391,
5,305,,1.0126782655715942
5,305,0.911452054977417,
6,356,,1.0256717205047607
6,356,0.8715537786483765,
7,407,,1.0449554920196533
7,407,0.850392758846283,
8,458,,1.0252164602279663
8,458,0.8209025263786316,
9,509,,1.0257052183151245
9,509,0.8087732791900635,
10,510,,1.0136522054672241
