evaluation,metric,average,DIRECT,NO,JUDGEMENTAL
EVALUATION_1,ICM,-0.39692883901126447,,,
EVALUATION_1,ICM-Norm,0.3642913992869898,,,
EVALUATION_1,F1,0.35458261325769214,0.43243243243243246,0.5678233438485805,0.06349206349206349
EVALUATION_1,Pr,0.3499182982553987,0.3157894736842105,0.5521472392638037,0.18181818181818182
EVALUATION_1,Re,0.43619713619713624,0.6857142857142857,0.5844155844155844,0.038461538461538464
EVALUATION_2,ICM,-0.09375467413104988,,,
EVALUATION_2,ICM-Norm,0.4674231180627218,,,
EVALUATION_2,F1,0.46392819365999155,0.5021645021645023,0.6862302483069977,0.2033898305084746
EVALUATION_2,Pr,0.5518448399175396,0.5087719298245614,0.5467625899280576,0.6
EVALUATION_2,Re,0.5131291988434846,0.49572649572649574,0.9212121212121213,0.12244897959183673
EVALUATION_3,ICM,-0.319644685323706,,,
EVALUATION_3,ICM-Norm,0.3920905203870924,,,
EVALUATION_3,F1,0.3676483376814503,0.490066225165563,0.5795454545454545,0.03333333333333333
EVALUATION_3,Pr,0.3375822083766009,0.4111111111111111,0.4766355140186916,0.125
EVALUATION_3,Re,0.4549728603541861,0.6065573770491803,0.7391304347826086,0.019230769230769232
EVALUATION_4,ICM,-0.23107640056522152,,,
EVALUATION_4,ICM-Norm,0.4206051503504933,,,
EVALUATION_4,F1,0.36475199758781846,0.5151515151515151,0.5791044776119403,0.0
EVALUATION_4,Pr,0.3068554697359786,0.39906103286384975,0.521505376344086,0.0
EVALUATION_4,Re,0.4591674793017075,0.7264957264957265,0.6510067114093959,0.0
EVALUATION_5,ICM,-0.32806298523976557,,,
EVALUATION_5,ICM-Norm,0.38902065269910874,,,
EVALUATION_5,F1,0.35936126312012195,0.523943661971831,0.554140127388535,0.0
EVALUATION_5,Pr,0.45242937853107346,0.41333333333333333,0.4915254237288136,
EVALUATION_5,Re,0.45014037057832673,0.7153846153846154,0.635036496350365,0.0
average,F1,0.3820544810614149,0.4927516673771688,0.5933687303403016,0.06004304546677428
average,ICM,-0.2738935168542015,,,
average,ICM-Norm,0.4066861681572812,,,
average,Pr,0.39972603896331826,0.4096133761634132,0.5177152286566905,0.22670454545454546
average,Re,0.46272140905496817,0.6459757000740607,0.706160269634015,0.03602825745682888
