evaluation,metric,average,DIRECT,JUDGEMENTAL,NO
EVALUATION_1,ICM,-0.22359531234452149,,,
EVALUATION_1,ICM-Norm,0.41928780777036007,,,
EVALUATION_1,F1,0.386496624156039,0.6046511627906976,0.0,0.5548387096774194
EVALUATION_1,Pr,0.3315363441071006,0.5246636771300448,0.0,0.46994535519125685
EVALUATION_1,Re,0.4635266628256834,0.7134146341463414,0.0,0.6771653543307087
EVALUATION_2,ICM,-0.5290604205556728,,,
EVALUATION_2,ICM-Norm,0.31213588351918603,,,
EVALUATION_2,F1,0.33087037836282546,0.49546827794561926,0.0,0.4971428571428571
EVALUATION_2,Pr,0.42076885286170473,0.4632768361581921,,0.3782608695652174
EVALUATION_2,Re,0.4191558441558441,0.5324675324675324,0.0,0.725
EVALUATION_3,ICM,-0.47442202881479095,,,
EVALUATION_3,ICM-Norm,0.33487647113587893,,,
EVALUATION_3,F1,0.33825295577677544,0.449438202247191,0.0,0.5653206650831354
EVALUATION_3,Pr,0.44763664874551967,0.46875,,0.4265232974910394
EVALUATION_3,Re,0.42322761509102574,0.4316546762589928,0.0,0.8380281690140845
EVALUATION_4,ICM,-0.3520553526694333,,,
EVALUATION_4,ICM-Norm,0.3769023141880538,,,
EVALUATION_4,F1,0.36604207197060196,0.5439093484419263,0.0,0.5542168674698795
EVALUATION_4,Pr,0.30870279146141216,0.4729064039408867,0.0,0.45320197044334976
EVALUATION_4,Re,0.4510594315245478,0.64,0.0,0.7131782945736435
EVALUATION_5,ICM,-0.4657704242866783,,,
EVALUATION_5,ICM-Norm,0.3369457323303404,,,
EVALUATION_5,F1,0.3467711447915593,0.5157232704402516,0.0,0.5245901639344263
EVALUATION_5,Pr,0.4505767524401064,0.5093167701863354,,0.39183673469387753
EVALUATION_5,Re,0.43856047446087976,0.5222929936305732,0.0,0.7933884297520661
average,F1,0.3536866350115602,0.5218380523731372,0.0,0.5392218526615435
average,ICM,-0.40898070773421935,,,
average,ICM-Norm,0.35602964178876384,,,
average,Pr,0.39184427792316867,0.4877827374830918,0.0,0.4239536454769482
average,Re,0.43910600561159613,0.5679659673006879,0.0,0.7493520495341006
