evaluation,metric,average,DIRECT,NO,JUDGEMENTAL
EVALUATION_1,ICM,-0.7308628456352477,,,
EVALUATION_1,ICM-Norm,0.24807587004536683,,,
EVALUATION_1,F1,0.29077117572692796,0.46523388116308473,0.40707964601769914,0.0
EVALUATION_1,Pr,0.37553983124044915,0.35452793834296725,0.39655172413793105,
EVALUATION_1,Re,0.3648841354723708,0.6764705882352942,0.41818181818181815,0.0
EVALUATION_2,ICM,-0.7368551906886398,,,
EVALUATION_2,ICM-Norm,0.24660172951626544,,,
EVALUATION_2,F1,0.3161510302383163,0.44984802431610943,0.4597701149425288,0.038834951456310676
EVALUATION_2,Pr,0.34026994510865477,0.3978494623655914,0.372960372960373,0.25
EVALUATION_2,Re,0.3792620284636843,0.5174825174825175,0.599250936329588,0.021052631578947368
EVALUATION_3,ICM,-0.6802844329221196,,,
EVALUATION_3,ICM-Norm,0.2642073180701799,,,
EVALUATION_3,F1,0.3092856723601573,0.4500792393026941,0.47777777777777775,0.0
EVALUATION_3,Pr,0.38730830572935837,0.3736842105263158,0.40093240093240096,
EVALUATION_3,Re,0.38560078129634956,0.5657370517928287,0.5910652920962199,0.0
EVALUATION_4,ICM,-0.7170127493406909,,,
EVALUATION_4,ICM-Norm,0.2537945442979434,,,
EVALUATION_4,F1,0.2941060481651849,0.46073298429319365,0.4215851602023609,0.0
EVALUATION_4,Pr,0.2536853685368537,0.3485148514851485,0.41254125412541254,0.0
EVALUATION_4,Re,0.3701903874317667,0.6795366795366795,0.43103448275862066,0.0
EVALUATION_5,ICM,-0.7144898097569691,,,
EVALUATION_5,ICM-Norm,0.2520260700068121,,,
EVALUATION_5,F1,0.2949848312476299,0.45833333333333337,0.4266211604095563,0.0
EVALUATION_5,Pr,0.374083681423131,0.3659043659043659,0.382262996941896,
EVALUATION_5,Re,0.3652886335813165,0.6132404181184669,0.4826254826254826,0.0
average,F1,0.3010597515476433,0.45684549248168305,0.4385667718699846,0.007766990291262136
average,ICM,-0.7159010056687334,,,
average,ICM-Norm,0.25294110638731354,,,
average,Pr,0.3461774264076894,0.36809616572487774,0.3930497498196027,0.125
average,Re,0.3730451932490976,0.6104934510331573,0.504431602398346,0.004210526315789474
