evaluation,metric,average
EVALUATION_1,ICM-Soft,-2.027377490640314
EVALUATION_1,ICM-Soft-Norm,0.287686561816814
EVALUATION_1,CE,1.5296765460235142
EVALUATION_2,ICM-Soft,-2.03196226247614
EVALUATION_2,ICM-Soft-Norm,0.2861431946465725
EVALUATION_2,CE,1.519008997575155
EVALUATION_3,ICM-Soft,-1.9550736243391222
EVALUATION_3,ICM-Soft-Norm,0.2965301953735701
EVALUATION_3,CE,1.5141562776259692
EVALUATION_4,ICM-Soft,-2.0462321237045518
EVALUATION_4,ICM-Soft-Norm,0.2868003000878902
EVALUATION_4,CE,1.5287409686416433
EVALUATION_5,ICM-Soft,-2.0436587083666264
EVALUATION_5,ICM-Soft-Norm,0.2863230526735257
EVALUATION_5,CE,1.523932169567933
average,CE,1.523102991886843
average,ICM-Soft,-2.0208608419053506
average,ICM-Soft-Norm,0.2886966609196745
