F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.12269285321235657,,0.1374487280845642,,0.12113174796104431,0,113,,0.44960978627204895
0.1280527561903,,0.12470618635416031,,0.16369114816188812,,0,113,0.5223453640937805,
,0.29445788264274597,,0.34096717834472656,,0.3204484283924103,1,227,,0.4577611982822418
0.1213175505399704,,0.1360384225845337,,0.13035473227500916,,1,227,0.4343416690826416,
,0.3248440623283386,,0.36442843079566956,,0.34410935640335083,2,341,,0.4234555959701538
0.1839735358953476,,0.2061977982521057,,0.19407323002815247,,2,341,0.39144155383110046,
,0.377748966217041,,0.4121222496032715,,0.3978843092918396,3,455,,0.4028210937976837
0.26990318298339844,,0.2962595224380493,,0.2784293293952942,,3,455,0.3378022015094757,
,0.4107650816440582,,0.42770880460739136,,0.45961278676986694,4,569,,0.41858696937561035
0.3324025273323059,,0.35876545310020447,,0.34037187695503235,,4,569,0.28570181131362915,
,0.4158325493335724,,0.4594278633594513,,0.43419790267944336,5,683,,0.40783753991127014
0.3986605107784271,,0.4169817268848419,,0.41009521484375,,5,683,0.2349056750535965,
,0.4151189625263214,,0.4576326608657837,,0.42499375343322754,6,797,,0.4354664981365204
0.4543404281139374,,0.4727306365966797,,0.4624100625514984,,6,797,0.1913057565689087,
,0.3978024423122406,,0.4537181854248047,,0.4016610085964203,7,911,,0.44748738408088684
0.49653181433677673,,0.5105725526809692,,0.503065288066864,,7,911,0.14895790815353394,
,0.3844929337501526,,0.420646607875824,,0.4035187065601349,8,912,,0.40197256207466125
