evaluation,metric,average
EVALUATION_1,ICM-Soft,-6.264052297075488
EVALUATION_1,ICM-Soft-Norm,0.16698402144379534
EVALUATION_2,ICM-Soft,-6.407986149667166
EVALUATION_2,ICM-Soft-Norm,0.16130686562846266
EVALUATION_3,ICM-Soft,-4.7582245369436755
EVALUATION_3,ICM-Soft-Norm,0.2497674703859294
EVALUATION_4,ICM-Soft,-5.390240136589001
EVALUATION_4,ICM-Soft-Norm,0.2122922948694917
EVALUATION_5,ICM-Soft,-5.252253888307138
EVALUATION_5,ICM-Soft-Norm,0.21713743168031283
average,ICM-Soft,-5.6145514017164935
average,ICM-Soft-Norm,0.20149761680159836
