F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,0.0,,0.0,0,42,,0.5605673789978027
0.06830544769763947,,0.07630538195371628,,0.08756614476442337,,0,42,0.6097652316093445,
,0.0,,0.0,,0.0,1,85,,0.5477505326271057
0.002165134996175766,,0.00487329438328743,,0.001682446920312941,,1,85,0.5558311343193054,
,0.0,,0.0,,0.0,2,128,,0.5356060266494751
0.0092878807336092,,0.01673164591193199,,0.0070906444452703,,2,128,0.542451024055481,
,0.24618592858314514,,0.2813275456428528,,0.2776256501674652,3,171,,0.5291668176651001
0.1470414698123932,,0.1867620348930359,,0.1449723243713379,,3,171,0.49160149693489075,
,0.2983168065547943,,0.4282534122467041,,0.2838856279850006,4,214,,0.5087648630142212
0.33248451352119446,,0.37376320362091064,,0.3465574085712433,,4,214,0.4160502851009369,
,0.38040047883987427,,0.44397488236427307,,0.3754100203514099,5,257,,0.4927941858768463
0.44239044189453125,,0.476827472448349,,0.4548153281211853,,5,257,0.3334231674671173,
,0.3817935585975647,,0.4446890950202942,,0.4051455557346344,6,300,,0.5330502390861511
0.5308659076690674,,0.5548500418663025,,0.541607677936554,,6,300,0.25595852732658386,
,0.39749690890312195,,0.4662036895751953,,0.3906514048576355,7,343,,0.5212658643722534
0.5664535760879517,,0.5823259949684143,,0.5765895843505859,,7,343,0.21073389053344727,
,0.39472487568855286,,0.4715079367160797,,0.3782340884208679,8,386,,0.5221902132034302
0.6103342771530151,,0.62720787525177,,0.6159681081771851,,8,386,0.1778629571199417,
,0.3953843414783478,,0.467609167098999,,0.38275790214538574,9,429,,0.5293223857879639
0.6346405148506165,,0.6476885080337524,,0.638420045375824,,9,429,0.15777815878391266,
,0.38040047883987427,,0.44397488236427307,,0.3754100203514099,10,430,,0.4927941858768463
