evaluation,metric,average,IDEOLOGICAL-INEQUALITY,STEREOTYPING-DOMINANCE,OBJECTIFICATION,MISOGYNY-NON-SEXUAL-VIOLENCE,NO,SEXUAL-VIOLENCE
EVALUATION_1,ICM,-1.1002844744485207,,,,,,
EVALUATION_1,ICM-Norm,0.28244294292093586,,,,,,
EVALUATION_1,F1,0.39019952650938805,0.4427480916030534,0.27272727272727276,0.5434782608695651,0.0,0.6306306306306306,0.45161290322580644
EVALUATION_2,ICM,-1.9337415053536242,,,,,,
EVALUATION_2,ICM-Norm,0.11731506806197324,,,,,,
EVALUATION_2,F1,0.20788221929374573,0.1836734693877551,0.11290322580645161,0.41463414634146345,0.0,0.5360824742268041,0.0
EVALUATION_3,ICM,-1.2112564048272219,,,,,,
EVALUATION_3,ICM-Norm,0.2609193425555637,,,,,,
EVALUATION_3,F1,0.3617550534654271,0.5467625899280576,0.4228571428571429,0.38709677419354843,0.0,0.6246246246246245,0.1891891891891892
EVALUATION_4,ICM,-0.8680655600087206,,,,,,
EVALUATION_4,ICM-Norm,0.3265780259900472,,,,,,
EVALUATION_4,F1,0.4362218381907625,0.6289308176100629,0.504424778761062,0.4970414201183432,0.0,0.6148409893992933,0.37209302325581395
EVALUATION_5,ICM,-2.351335595000667,,,,,,
EVALUATION_5,ICM-Norm,0.03447340049568437,,,,,,
EVALUATION_5,F1,0.09078014184397164,0.0,0.0,0.0,0.0,0.5446808510638298,0.0
average,F1,0.297367755860659,0.3604229937057858,0.2625824840303858,0.368450120304584,0.0,0.5901719139890365,0.20257902313416193
average,ICM,-1.492936707927751,,,,,,
average,ICM-Norm,0.20434575600484087,,,,,,
