F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.13858702778816223,,0.1685260534286499,,0.13862542808055878,0,121,,0.4643120765686035
0.10146517306566238,,0.10654285550117493,,0.13224193453788757,,0,121,0.5426252484321594,
,0.19273576140403748,,0.2339324653148651,,0.19288033246994019,1,243,,0.44505974650382996
0.1295742392539978,,0.14784963428974152,,0.13558751344680786,,1,243,0.47027796506881714,
,0.3385792672634125,,0.4184286892414093,,0.33378905057907104,2,365,,0.43093687295913696
0.21484385430812836,,0.24329505860805511,,0.22004668414592743,,2,365,0.41597282886505127,
,0.33565521240234375,,0.4326014816761017,,0.33171963691711426,3,487,,0.47321099042892456
0.3327637016773224,,0.3677997887134552,,0.33939701318740845,,3,487,0.3453931212425232,
,0.4105303883552551,,0.4672037363052368,,0.4242151081562042,4,609,,0.4625561535358429
0.418913334608078,,0.4483624994754791,,0.4284948408603668,,4,609,0.2834242582321167,
,0.40847042202949524,,0.47105762362480164,,0.42133060097694397,5,731,,0.4807146489620209
0.4632740020751953,,0.4888570308685303,,0.47439536452293396,,5,731,0.23736698925495148,
,0.4126136302947998,,0.4798745810985565,,0.4104253947734833,6,853,,0.4757941961288452
0.506330132484436,,0.5299056172370911,,0.5149245262145996,,6,853,0.19827792048454285,
,0.3349960148334503,,0.4151144325733185,,0.3309439718723297,7,854,,0.42991966009140015
