evaluation,metric,average,STEREOTYPING-DOMINANCE,OBJECTIFICATION,IDEOLOGICAL-INEQUALITY,MISOGYNY-NON-SEXUAL-VIOLENCE,NO,SEXUAL-VIOLENCE
EVALUATION_1,ICM,-1.3312164335354644,,,,,,
EVALUATION_1,ICM-Norm,0.22171399427729305,,,,,,
EVALUATION_1,F1,0.2783478716896306,0.29577464788732394,0.2222222222222222,0.49180327868852464,0.0,0.6602870813397129,0.0
EVALUATION_2,ICM,-1.0678077533213235,,,,,,
EVALUATION_2,ICM-Norm,0.2773987905094219,,,,,,
EVALUATION_2,F1,0.2946851360644464,0.46153846153846145,0.0,0.6222222222222222,0.0,0.6843501326259948,0.0
EVALUATION_3,ICM,-1.2975301521027496,,,,,,
EVALUATION_3,ICM-Norm,0.22761801084126973,,,,,,
EVALUATION_3,F1,0.2599923920185358,0.32679738562091504,0.0,0.5714285714285714,0.0,0.6617283950617284,0.0
EVALUATION_4,ICM,-1.1423431898178271,,,,,,
EVALUATION_4,ICM-Norm,0.2590161348017196,,,,,,
EVALUATION_4,F1,0.28904423327437173,0.449438202247191,0.02127659574468085,0.5917159763313609,0.0,0.6718346253229974,0.0
EVALUATION_5,ICM,-0.8997233144949096,,,,,,
EVALUATION_5,ICM-Norm,0.30820308713892364,,,,,,
EVALUATION_5,F1,0.3377100938713466,0.5154639175257733,0.2,0.6163522012578616,0.0,0.6944444444444444,0.0
average,F1,0.2919559453836662,0.40980252296393294,0.08869976359338061,0.5787044499857081,0.0,0.6745289357589755,0.0
average,ICM,-1.1477241686544548,,,,,,
average,ICM-Norm,0.2587900035137256,,,,,,
