F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,0.0,,0.0,0,42,,0.5790007710456848
0.15292242169380188,,0.160580113530159,,0.18602946400642395,,0,42,0.6664869785308838,
,0.0,,0.0,,0.0,1,85,,0.5441643595695496
0.0004411764966789633,,0.0009803922148421407,,0.0002859477244783193,,1,85,0.5543996095657349,
,0.0,,0.0,,0.0,2,128,,0.5363581776618958
0.0,,0.0,,0.0,,2,128,0.5403093099594116,
,0.08085045218467712,,0.12280802428722382,,0.0749627873301506,3,171,,0.5230705738067627
0.012777778320014477,,0.019362740218639374,,0.010539216920733452,,3,171,0.5195773243904114,
,0.15882283449172974,,0.24960806965827942,,0.15297706425189972,4,214,,0.5154427289962769
0.08943971991539001,,0.11564547568559647,,0.08124996721744537,,4,214,0.4844493269920349,
,0.18924438953399658,,0.2657757103443146,,0.20031292736530304,5,257,,0.5211527943611145
0.18941636383533478,,0.2214868664741516,,0.18092317879199982,,5,257,0.4493475556373596,
,0.22414496541023254,,0.3181857466697693,,0.2225446254014969,6,300,,0.5162881016731262
0.24930444359779358,,0.27785956859588623,,0.24562914669513702,,6,300,0.4186864197254181,
,0.3021988570690155,,0.3738606572151184,,0.29295676946640015,7,343,,0.5128732323646545
0.2727847695350647,,0.30175653100013733,,0.2692403197288513,,7,343,0.39603638648986816,
,0.2945798337459564,,0.3563932776451111,,0.2866038680076599,8,386,,0.5157507658004761
0.30089882016181946,,0.3226715922355652,,0.30008167028427124,,8,386,0.375114768743515,
,0.2934894561767578,,0.36754220724105835,,0.28135350346565247,9,429,,0.5059364438056946
0.3149277865886688,,0.3372958302497864,,0.313848078250885,,9,429,0.3624918460845947,
,0.29015544056892395,,0.36934369802474976,,0.2784935534000397,10,430,,0.5119980573654175
