evaluation,metric,average,IDEOLOGICAL-INEQUALITY,STEREOTYPING-DOMINANCE,OBJECTIFICATION,MISOGYNY-NON-SEXUAL-VIOLENCE,NO,SEXUAL-VIOLENCE
EVALUATION_1,ICM,-1.2505865891713563,,,,,,
EVALUATION_1,ICM-Norm,0.25272400521780286,,,,,,
EVALUATION_1,F1,0.3412257416524505,0.5490196078431373,0.40223463687150834,0.4678362573099415,0.0,0.5919003115264797,0.03636363636363636
EVALUATION_2,ICM,-1.0569280215732484,,,,,,
EVALUATION_2,ICM-Norm,0.2908353175026948,,,,,,
EVALUATION_2,F1,0.3732304268386743,0.49350649350649356,0.4536082474226804,0.5081081081081081,0.0,0.6254295532646048,0.15873015873015872
EVALUATION_3,ICM,-1.4121800278435963,,,,,,
EVALUATION_3,ICM-Norm,0.2212605620567105,,,,,,
EVALUATION_3,F1,0.31309528264451086,0.5228758169934641,0.2699386503067485,0.4444444444444444,0.0,0.5723472668810289,0.06896551724137931
EVALUATION_4,ICM,-1.231079658375708,,,,,,
EVALUATION_4,ICM-Norm,0.25405513782061717,,,,,,
EVALUATION_4,F1,0.3280421481352926,0.5034013605442177,0.4157303370786517,0.4418604651162791,0.0,0.6072607260726072,0.0
EVALUATION_5,ICM,-1.3254802905029306,,,,,,
EVALUATION_5,ICM-Norm,0.23757623809218664,,,,,,
EVALUATION_5,F1,0.32186437876799784,0.47852760736196326,0.39378238341968913,0.46987951807228917,0.0,0.5889967637540453,0.0
average,F1,0.3354915956077852,0.5094661772498552,0.3870588510198556,0.4664257586102124,0.0,0.5971869242997532,0.052811862467034884
average,ICM,-1.255250917493368,,,,,,
average,ICM-Norm,0.2512902521380024,,,,,,
