F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.03285490721464157,,0.09060847759246826,,0.02212158404290676,0,84,,0.5505094528198242
0.07830203324556351,,0.10758517682552338,,0.08242999017238617,,0,84,0.5798208117485046,
,0.042491912841796875,,0.1021825447678566,,0.029140325263142586,1,169,,0.5269158482551575
0.018388576805591583,,0.033431366086006165,,0.015100953169167042,,1,169,0.5393601059913635,
,0.09051861613988876,,0.16811223328113556,,0.07066556066274643,2,254,,0.5241751670837402
0.034279704093933105,,0.055857837200164795,,0.0305637214332819,,2,254,0.5270639061927795,
,0.11038905382156372,,0.18336164951324463,,0.09011773765087128,3,339,,0.5226432681083679
0.05746756121516228,,0.09291666001081467,,0.05065007880330086,,3,339,0.516462504863739,
,0.12994243204593658,,0.2052595317363739,,0.11089452356100082,4,424,,0.5175679326057434
0.08372374624013901,,0.13036185503005981,,0.07244688272476196,,4,424,0.5028843879699707,
,0.14331674575805664,,0.21046234667301178,,0.12850143015384674,5,509,,0.5191911458969116
0.12524478137493134,,0.18860067427158356,,0.11131537705659866,,5,509,0.4871588349342346,
,0.1678701937198639,,0.25865140557289124,,0.14536166191101074,6,594,,0.5173404812812805
0.16319449245929718,,0.23628026247024536,,0.1447514295578003,,6,594,0.4721178710460663,
,0.1914871484041214,,0.29692932963371277,,0.16570565104484558,7,679,,0.5182580351829529
0.1972264051437378,,0.2751043140888214,,0.17698067426681519,,7,679,0.4516887962818146,
,0.20170246064662933,,0.30978521704673767,,0.17427046597003937,8,764,,0.5187742710113525
0.23419620096683502,,0.3168815076351166,,0.2132895290851593,,8,764,0.43884900212287903,
,0.1678701937198639,,0.25865140557289124,,0.14536166191101074,9,765,,0.5173404812812805
