evaluation,metric,average
EVALUATION_1,ICM-Soft,-6.554058378725304
EVALUATION_1,ICM-Soft-Norm,0.1518295791251281
EVALUATION_2,ICM-Soft,-6.228929507882544
EVALUATION_2,ICM-Soft-Norm,0.16649505478337148
EVALUATION_3,ICM-Soft,-6.56910509678002
EVALUATION_3,ICM-Soft-Norm,0.15325307908926517
EVALUATION_4,ICM-Soft,-6.824028157212863
EVALUATION_4,ICM-Soft-Norm,0.13947402875535608
EVALUATION_5,ICM-Soft,-6.186537402794198
EVALUATION_5,ICM-Soft-Norm,0.1693489253123986
average,ICM-Soft,-6.472531708678986
average,ICM-Soft-Norm,0.1560801334131039
