epoch,step,train_loss,val_loss
0,50,,0.457278847694397
0,50,0.5495989322662354,
1,101,,0.4485546946525574
1,101,0.45241779088974,
2,152,,0.4303160011768341
2,152,0.44299349188804626,
3,203,,0.4253154695034027
3,203,0.42827218770980835,
4,254,,0.41992947459220886
4,254,0.4165060818195343,
5,305,,0.4127606153488159
5,305,0.4019061028957367,
6,356,,0.4211680293083191
6,356,0.3801957368850708,
7,407,,0.419027179479599
7,407,0.364960640668869,
8,458,,0.4172219932079315
8,458,0.3603072762489319,
9,509,,0.4142107367515564
9,509,0.34852659702301025,
10,510,,0.4127606153488159
