evaluation,metric,average,IDEOLOGICAL-INEQUALITY,STEREOTYPING-DOMINANCE,OBJECTIFICATION,NO,MISOGYNY-NON-SEXUAL-VIOLENCE,SEXUAL-VIOLENCE
EVALUATION_1,ICM,-0.548238383619059,,,,,,
EVALUATION_1,ICM-Norm,0.3845049874555796,,,,,,
EVALUATION_1,F1,0.42551102034214594,0.5882352941176471,0.4342857142857143,0.4739884393063585,0.6287128712871288,0.10526315789473684,0.3225806451612903
EVALUATION_2,ICM,-0.5293413250615497,,,,,,
EVALUATION_2,ICM-Norm,0.3887952099656061,,,,,,
EVALUATION_2,F1,0.4062737814293788,0.5748502994011976,0.4831460674157303,0.5095541401273885,0.6287128712871288,0.0,0.24137931034482762
EVALUATION_3,ICM,-2.001590298523653,,,,,,
EVALUATION_3,ICM-Norm,0.07881833486994437,,,,,,
EVALUATION_3,F1,0.09013914095583786,0.0,0.0,0.0,0.5408348457350272,0.0,0.0
EVALUATION_4,ICM,-1.0322369868652868,,,,,,
EVALUATION_4,ICM-Norm,0.28254021891764325,,,,,,
EVALUATION_4,F1,0.27858086301153023,0.5771812080536913,0.019801980198019802,0.4204545454545455,0.6114942528735633,0.0,0.0425531914893617
EVALUATION_5,ICM,-0.7705396457755599,,,,,,
EVALUATION_5,ICM-Norm,0.338723155708685,,,,,,
EVALUATION_5,F1,0.3830355115679862,0.5925925925925926,0.3404255319148936,0.42391304347826086,0.6022988505747127,0.0,0.3389830508474576
average,F1,0.3167080634613758,0.4665718788330257,0.2555318587628716,0.36558203367331066,0.6024107383515122,0.021052631578947368,0.18909923956858746
average,ICM,-0.9763893279690217,,,,,,
average,ICM-Norm,0.29467638138349167,,,,,,
