epoch,step,train_loss,val_loss
0,131,,0.4438202679157257
0,131,0.5269227623939514,
1,263,,0.3954229950904846
1,263,0.4146405756473541,
2,395,,0.3815913498401642
2,395,0.39108535647392273,
3,527,,0.37756291031837463
3,527,0.3748394548892975,
4,659,,0.37716373801231384
4,659,0.36225253343582153,
5,791,,0.37226879596710205
5,791,0.3504429757595062,
6,923,,0.37322938442230225
6,923,0.34147515892982483,
7,1055,,0.38061729073524475
7,1055,0.3329492211341858,
8,1187,,0.3754323422908783
8,1187,0.3270808458328247,
9,1319,,0.36909183859825134
9,1319,0.32373011112213135,
10,1320,,0.36856210231781006
