epoch,step,train_loss,val_loss
0,50,,0.47770488262176514
0,50,0.5477045774459839,
1,101,,0.47189244627952576
1,101,0.47123080492019653,
2,152,,0.4658074676990509
2,152,0.4706317186355591,
3,203,,0.4606502652168274
3,203,0.46843069791793823,
4,254,,0.4562533497810364
4,254,0.46038708090782166,
5,305,,0.44857433438301086
5,305,0.45319998264312744,
6,356,,0.4472830295562744
6,356,0.44079354405403137,
7,407,,0.4476770758628845
7,407,0.42574435472488403,
8,458,,0.4454634189605713
8,458,0.41014230251312256,
9,509,,0.4443126618862152
9,509,0.39841940999031067,
10,510,,0.4443126618862152
