evaluation,metric,average
EVALUATION_1,ICM-Soft,-5.110960155451508
EVALUATION_1,ICM-Soft-Norm,0.23208982778197856
EVALUATION_2,ICM-Soft,-6.788758279117354
EVALUATION_2,ICM-Soft-Norm,0.14414219840830464
EVALUATION_3,ICM-Soft,-5.270292897053634
EVALUATION_3,ICM-Soft-Norm,0.22610287737885146
EVALUATION_4,ICM-Soft,-4.949668986144716
EVALUATION_4,ICM-Soft-Norm,0.24134719713669137
EVALUATION_5,ICM-Soft,-6.414559484248193
EVALUATION_5,ICM-Soft-Norm,0.16696474274515402
average,ICM-Soft,-5.706847960403081
average,ICM-Soft-Norm,0.20212936869019602
