epoch,step,train_loss,val_loss
0,142,,0.4221370816230774
0,142,0.4784163534641266,
1,285,,0.41412752866744995
1,285,0.4059979319572449,
2,428,,0.4173608124256134
2,428,0.3825618028640747,
3,571,,0.40957382321357727
3,571,0.36733973026275635,
4,714,,0.3970913290977478
4,714,0.3493947982788086,
5,857,,0.4008209705352783
5,857,0.3316410183906555,
6,1000,,0.404781311750412
6,1000,0.31816086173057556,
7,1143,,0.4083801209926605
7,1143,0.3084206283092499,
8,1286,,0.40793174505233765
8,1286,0.3007057309150696,
9,1287,,0.3970913290977478
