evaluation,metric,average
EVALUATION_1,ICM-Soft,-4.118129622476835
EVALUATION_1,ICM-Soft-Norm,0.2855564349970366
EVALUATION_2,ICM-Soft,-3.9886709502043645
EVALUATION_2,ICM-Soft-Norm,0.2930033875818892
EVALUATION_3,ICM-Soft,-3.3512270956920274
EVALUATION_3,ICM-Soft-Norm,0.32417676576493215
EVALUATION_4,ICM-Soft,-3.880472196327717
EVALUATION_4,ICM-Soft-Norm,0.2964490871443147
EVALUATION_5,ICM-Soft,-4.019051318724264
EVALUATION_5,ICM-Soft-Norm,0.2909100204456923
average,ICM-Soft,-3.8715102366850416
average,ICM-Soft-Norm,0.298019139186773
