evaluation,metric,average
EVALUATION_1,ICM-Soft,-5.976827542136062
EVALUATION_1,ICM-Soft-Norm,0.18483918723675263
EVALUATION_2,ICM-Soft,-5.670402237076496
EVALUATION_2,ICM-Soft-Norm,0.2052213892655114
EVALUATION_3,ICM-Soft,-5.2877909875581315
EVALUATION_3,ICM-Soft-Norm,0.2198672274669097
EVALUATION_4,ICM-Soft,-5.904947886595903
EVALUATION_4,ICM-Soft-Norm,0.19207018381455526
EVALUATION_5,ICM-Soft,-6.02147940100086
EVALUATION_5,ICM-Soft-Norm,0.18676683239402173
average,ICM-Soft,-5.772289610873491
average,ICM-Soft-Norm,0.19775296403555015
