epoch,step,train_loss,val_loss
0,50,,0.46629035472869873
0,50,0.5498623251914978,
1,101,,0.4639832675457001
1,101,0.46605226397514343,
2,152,,0.4593215584754944
2,152,0.4547485113143921,
3,203,,0.45994529128074646
3,203,0.43333569169044495,
4,254,,0.4606105089187622
4,254,0.40431275963783264,
5,305,,0.45577308535575867
5,305,0.37616878747940063,
6,356,,0.4615219831466675
6,356,0.3566528558731079,
7,407,,0.4558044373989105
7,407,0.34478405117988586,
8,458,,0.46275192499160767
8,458,0.3380413055419922,
9,509,,0.4529649615287781
9,509,0.33056163787841797,
10,510,,0.4540652930736542
