evaluation,metric,average,NO,IDEOLOGICAL-INEQUALITY,STEREOTYPING-DOMINANCE,MISOGYNY-NON-SEXUAL-VIOLENCE,OBJECTIFICATION,SEXUAL-VIOLENCE
EVALUATION_1,ICM,-1.4637366171703488,,,,,,
EVALUATION_1,ICM-Norm,0.20851024583510874,,,,,,
EVALUATION_1,F1,0.29871491035085657,0.5,0.4366197183098592,0.33962264150943394,0.0,0.35211267605633806,0.16393442622950818
EVALUATION_2,ICM,-2.068137128713335,,,,,,
EVALUATION_2,ICM-Norm,0.08937759016050326,,,,,,
EVALUATION_2,F1,0.14827040302325473,0.4866920152091255,0.06593406593406594,0.051282051282051294,0.0,0.2857142857142857,0.0
EVALUATION_3,ICM,-2.17867987260311,,,,,,
EVALUATION_3,ICM-Norm,0.06904425135281089,,,,,,
EVALUATION_3,F1,0.1315399200460965,0.4785046728971963,0.0449438202247191,0.017857142857142856,0.0,0.24793388429752067,0.0
EVALUATION_4,ICM,-2.2381945779569983,,,,,,
EVALUATION_4,ICM-Norm,0.057064200484799765,,,,,,
EVALUATION_4,F1,0.12394562798663229,0.479245283018868,0.04395604395604396,0.0,0.0,0.2204724409448819,0.0
EVALUATION_5,ICM,-1.9372270780399388,,,,,,
EVALUATION_5,ICM-Norm,0.11775934329052579,,,,,,
EVALUATION_5,F1,0.204728508146948,0.48692152917505027,0.19047619047619047,0.13114754098360656,0.0,0.34965034965034963,0.07017543859649122
average,F1,0.1814398739107576,0.486272700060048,0.15638596778017572,0.10798187532644694,0.0,0.2911767273326752,0.04682197296519988
average,ICM,-1.977195054896746,,,,,,
average,ICM-Norm,0.1083511262247497,,,,,,
