evaluation,metric,average
EVALUATION_1,ICM-Soft,-5.455417456638607
EVALUATION_1,ICM-Soft-Norm,0.21403380463252047
EVALUATION_2,ICM-Soft,-6.477196007084968
EVALUATION_2,ICM-Soft-Norm,0.160473883913356
EVALUATION_3,ICM-Soft,-6.495596110946562
EVALUATION_3,ICM-Soft-Norm,0.16242386917584617
EVALUATION_4,ICM-Soft,-6.610455071277978
EVALUATION_4,ICM-Soft-Norm,0.15456018631262242
EVALUATION_5,ICM-Soft,-6.092392345121966
EVALUATION_5,ICM-Soft-Norm,0.1836912251047663
average,ICM-Soft,-6.226211398214017
average,ICM-Soft-Norm,0.17503659382782227
