evaluation,metric,average,NO,IDEOLOGICAL-INEQUALITY,OBJECTIFICATION,MISOGYNY-NON-SEXUAL-VIOLENCE,STEREOTYPING-DOMINANCE,SEXUAL-VIOLENCE
EVALUATION_1,ICM,-1.9459187613588036,,,,,,
EVALUATION_1,ICM-Norm,0.10460940940792561,,,,,,
EVALUATION_1,F1,0.15551683480735662,0.5105973025048169,0.0,0.33142857142857146,0.0,0.0365296803652968,0.05454545454545455
EVALUATION_2,ICM,-1.9352733487890448,,,,,,
EVALUATION_2,ICM-Norm,0.1061644446417514,,,,,,
EVALUATION_2,F1,0.14311262725988028,0.5138490926456543,0.0,0.33516483516483514,0.0,0.00966183574879227,0.0
EVALUATION_3,ICM,-1.8447205575307302,,,,,,
EVALUATION_3,ICM-Norm,0.12698585513248112,,,,,,
EVALUATION_3,F1,0.18072081923557726,0.5196850393700788,0.011695906432748537,0.41025641025641024,0.0,0.12345679012345677,0.019230769230769232
EVALUATION_4,ICM,-1.873396031393879,,,,,,
EVALUATION_4,ICM-Norm,0.11578117049804233,,,,,,
EVALUATION_4,F1,0.15004113056021728,0.5126286248830683,0.0,0.3780487804878049,0.0,0.009569377990430622,0.0
EVALUATION_5,ICM,-1.9644343220958642,,,,,,
EVALUATION_5,ICM-Norm,0.09799831483208084,,,,,,
EVALUATION_5,F1,0.13817292526594852,0.5075757575757576,0.0,0.3028571428571429,0.0,0.018604651162790697,0.0
average,F1,0.153512867425796,0.5128671633958752,0.0023391812865497076,0.35155114803895293,0.0,0.039564467078153434,0.014755244755244756
average,ICM,-1.912748604233664,,,,,,
average,ICM-Norm,0.11030783890245625,,,,,,
