,Run_Name,ICM_YES,ICM_NO,ICM_Average,ICM-Norm_YES,ICM-Norm_NO,ICM-Norm_Average,F1_YES,F1_NO,F1_Average,Pr_YES,Pr_NO,Pr_Average,Re_YES,Re_NO,Re_Average,ICM-Soft_Average,ICM-Soft-Norm_Average,CE_Average
8,BaselineTextEN,,,0.1133 ± 0.1040,,,0.5574 ± 0.0527,0.7430 ± 0.0468,0.6660 ± 0.0643,0.7045 ± 0.0390,0.7502 ± 0.0485,0.6765 ± 0.0623,0.7133 ± 0.0272,0.7440 ± 0.1146,0.6703 ± 0.1381,0.7072 ± 0.0365,-0.1890 ± 0.1283,0.4690 ± 0.0211,0.9496 ± 0.0595
9,BaselineTextES,,,-0.0077 ± 0.0851,,,0.4960 ± 0.0446,0.7384 ± 0.0276,0.6114 ± 0.0321,0.6749 ± 0.0280,0.7763 ± 0.0240,0.5712 ± 0.0352,0.6738 ± 0.0274,0.7046 ± 0.0409,0.6588 ± 0.0451,0.6817 ± 0.0281,-0.4525 ± 0.1161,0.4270 ± 0.0187,0.9567 ± 0.0401
7,CleanContextTextEN,,,0.1550 ± 0.0845,,,0.5785 ± 0.0427,0.7641 ± 0.0344,0.6713 ± 0.0663,0.7177 ± 0.0338,0.7509 ± 0.0514,0.7116 ± 0.0686,0.7312 ± 0.0216,0.7865 ± 0.1117,0.6513 ± 0.1470,0.7189 ± 0.0320,-0.0466 ± 0.0639,0.4924 ± 0.0105,0.9355 ± 0.0347
1,CleanContextTextES,,,0.0734 ± 0.1246,,,0.5385 ± 0.0653,0.7859 ± 0.0242,0.6075 ± 0.0905,0.6967 ± 0.0513,0.7682 ± 0.0485,0.6456 ± 0.0408,0.7069 ± 0.0344,0.8081 ± 0.0625,0.5838 ± 0.1444,0.6959 ± 0.0516,-0.2314 ± 0.1404,0.4627 ± 0.0227,0.9604 ± 0.0371
0,CleanTextEN,,,0.1336 ± 0.0933,,,0.5676 ± 0.0472,0.7388 ± 0.0216,0.6875 ± 0.0479,0.7132 ± 0.0311,0.7718 ± 0.0506,0.6585 ± 0.0245,0.7151 ± 0.0309,0.7109 ± 0.0456,0.7229 ± 0.0943,0.7169 ± 0.0343,-0.1325 ± 0.0990,0.4783 ± 0.0162,0.9677 ± 0.0627
14,CleanTextES,,,-0.0397 ± 0.0568,,,0.4792 ± 0.0298,0.7406 ± 0.0585,0.5753 ± 0.0631,0.6579 ± 0.0183,0.7570 ± 0.0381,0.5954 ± 0.1053,0.6762 ± 0.0359,0.7370 ± 0.1549,0.5912 ± 0.1780,0.6641 ± 0.0188,-0.5563 ± 0.1531,0.4102 ± 0.0247,0.9389 ± 0.0067
3,ContextTextEN,,,0.1891 ± 0.0978,,,0.5957 ± 0.0495,0.7609 ± 0.0445,0.7005 ± 0.0453,0.7307 ± 0.0324,0.7818 ± 0.0733,0.6958 ± 0.0631,0.7388 ± 0.0363,0.7513 ± 0.1130,0.7159 ± 0.1302,0.7336 ± 0.0337,0.0160 ± 0.1382,0.5026 ± 0.0227,0.9465 ± 0.0477
6,ContextTextENTweets,,,0.1201 ± 0.3941,,,0.5604 ± 0.1980,0.5906 ± 0.4104,0.7570 ± 0.0416,0.6738 ± 0.2247,0.7272 ± 0.0336,0.7350 ± 0.1377,0.7124 ± 0.1204,0.6011 ± 0.4197,0.8078 ± 0.1383,0.7044 ± 0.1428,0.0353 ± 0.6651,0.5060 ± 0.1102,0.9441 ± 0.0328
2,ContextTextES,,,0.0525 ± 0.0423,,,0.5275 ± 0.0222,0.7706 ± 0.0344,0.6127 ± 0.0372,0.6916 ± 0.0119,0.7745 ± 0.0439,0.6261 ± 0.0616,0.7003 ± 0.0211,0.7736 ± 0.1019,0.6135 ± 0.1303,0.6936 ± 0.0197,-0.3040 ± 0.0867,0.4509 ± 0.0141,0.9698 ± 0.0457
13,ContextTextESTweets,,,0.2705 ± 0.0852,,,0.6358 ± 0.0428,0.7953 ± 0.0366,0.7148 ± 0.0276,0.7550 ± 0.0277,0.7382 ± 0.0231,0.8129 ± 0.0847,0.7755 ± 0.0411,0.8656 ± 0.0899,0.6428 ± 0.0633,0.7542 ± 0.0268,0.3255 ± 0.1378,0.5541 ± 0.0229,0.8866 ± 0.0355
