,Run_Name,ICM_YES,ICM_NO,ICM_Average,ICM-Norm_YES,ICM-Norm_NO,ICM-Norm_Average,F1_YES,F1_NO,F1_Average,Pr_YES,Pr_NO,Pr_Average,Re_YES,Re_NO,Re_Average,ICM-Soft_Average,ICM-Soft-Norm_Average,CE_Average
1,BaselineTextEN,,,-0.0339 ± 0.2765,,,0.4828 ± 0.1400,0.6738 ± 0.0231,0.4674 ± 0.3272,0.5706 ± 0.1731,0.5871 ± 0.0818,0.5631 ± 0.0193,0.5668 ± 0.0638,0.8114 ± 0.1328,0.4879 ± 0.3482,0.6497 ± 0.1083,-0.6526 ± 0.3085,0.3975 ± 0.0484,0.9547 ± 0.0242
13,BaselineTextEN2,,,0.0810 ± 0.0541,,,0.5410 ± 0.0274,0.6746 ± 0.0234,0.6032 ± 0.0252,0.6389 ± 0.0165,0.6398 ± 0.0308,0.5483 ± 0.0396,0.5940 ± 0.0149,0.7181 ± 0.0815,0.6771 ± 0.0851,0.6976 ± 0.0177,-0.6380 ± 0.0929,0.3998 ± 0.0146,0.9382 ± 0.0103
0,BaselineTextES,,,-0.1676 ± 0.1808,,,0.4120 ± 0.0949,0.6702 ± 0.0595,0.3598 ± 0.3093,0.5150 ± 0.1415,0.6010 ± 0.0726,0.4731 ± 0.0754,0.5426 ± 0.0333,0.7996 ± 0.2456,0.4111 ± 0.4231,0.6053 ± 0.0981,-0.8858 ± 0.1098,0.3609 ± 0.0172,0.9520 ± 0.0078
10,CleanTextEN,,,0.0072 ± 0.2061,,,0.5036 ± 0.1044,0.6829 ± 0.0150,0.5160 ± 0.1832,0.5995 ± 0.0968,0.5927 ± 0.0792,0.5821 ± 0.0950,0.5874 ± 0.0620,0.8249 ± 0.1252,0.5020 ± 0.2769,0.6634 ± 0.0813,-0.6527 ± 0.1184,0.3975 ± 0.0186,0.9500 ± 0.0138
9,CleanTextES,,,0.0119 ± 0.1536,,,0.5062 ± 0.0806,0.6999 ± 0.0271,0.5373 ± 0.0833,0.6186 ± 0.0524,0.6426 ± 0.0535,0.5049 ± 0.0396,0.5738 ± 0.0416,0.7726 ± 0.0559,0.5838 ± 0.1555,0.6782 ± 0.0617,-0.6488 ± 0.1984,0.3981 ± 0.0312,0.9414 ± 0.0084
3,ContextTextEN,,,0.0668 ± 0.0440,,,0.5338 ± 0.0223,0.6817 ± 0.0156,0.5828 ± 0.0406,0.6322 ± 0.0162,0.6133 ± 0.0428,0.5815 ± 0.0677,0.5974 ± 0.0197,0.7762 ± 0.1009,0.6004 ± 0.1349,0.6883 ± 0.0206,-0.5813 ± 0.1280,0.4087 ± 0.0201,0.9392 ± 0.0134
4,ContextTextENTweets,,,0.2192 ± 0.2145,,,0.6101 ± 0.1078,0.6487 ± 0.1164,0.7190 ± 0.0490,0.6839 ± 0.0771,0.6067 ± 0.0391,0.7023 ± 0.1065,0.6545 ± 0.0479,0.7284 ± 0.2354,0.7540 ± 0.1177,0.7412 ± 0.0770,-0.1252 ± 0.2768,0.4801 ± 0.0441,0.8844 ± 0.0375
5,ContextTextES,,,-0.1463 ± 0.0991,,,0.4232 ± 0.0520,0.6875 ± 0.0239,0.4033 ± 0.1297,0.5454 ± 0.0581,0.5875 ± 0.0460,0.5042 ± 0.0461,0.5459 ± 0.0198,0.8423 ± 0.1283,0.3709 ± 0.2344,0.6066 ± 0.0556,-0.8296 ± 0.0766,0.3698 ± 0.0121,0.9491 ± 0.0090
6,ContextTextESTweets,,,0.3384 ± 0.0490,,,0.6699 ± 0.0246,0.7334 ± 0.0185,0.7112 ± 0.0204,0.7223 ± 0.0148,0.6831 ± 0.0252,0.6634 ± 0.0153,0.6732 ± 0.0135,0.7930 ± 0.0433,0.7681 ± 0.0559,0.7806 ± 0.0170,0.1729 ± 0.0984,0.5273 ± 0.0155,0.8574 ± 0.0146
12,EarlyEN,,,-0.3354 ± 0.1673,,,0.3302 ± 0.0847,0.6410 ± 0.0074,0.2050 ± 0.2432,0.4230 ± 0.1196,0.5046 ± 0.0514,0.4682 ± 0.1101,0.4864 ± 0.0653,0.8984 ± 0.1389,0.1733 ± 0.2738,0.5359 ± 0.0692,-1.0598 ± 0.1542,0.3335 ± 0.0242,0.9896 ± 0.0112
8,EarlyES,,,-0.0199 ± 0.1466,,,0.4896 ± 0.0769,0.6914 ± 0.0288,0.5286 ± 0.0682,0.6100 ± 0.0466,0.6415 ± 0.0490,0.4871 ± 0.0452,0.5643 ± 0.0389,0.7531 ± 0.0544,0.5855 ± 0.1295,0.6693 ± 0.0561,-0.7030 ± 0.0993,0.3896 ± 0.0156,0.9400 ± 0.0070
7,ImageBaseline,,,-0.3707 ± 0.1019,,,0.3055 ± 0.0534,0.6299 ± 0.0334,0.3525 ± 0.0377,0.4912 ± 0.0278,0.5552 ± 0.0240,0.3618 ± 0.0499,0.4585 ± 0.0315,0.7298 ± 0.0732,0.3489 ± 0.0641,0.5393 ± 0.0309,-1.1451 ± 0.0666,0.3202 ± 0.0105,1.0058 ± 0.0135
2,TextENWM,,,-0.1564 ± 0.3112,,,0.4209 ± 0.1575,0.6709 ± 0.0295,0.3216 ± 0.3696,0.4963 ± 0.1982,0.5455 ± 0.0831,0.5808 ± 0.0672,0.5430 ± 0.0748,0.8953 ± 0.1272,0.3048 ± 0.3635,0.6001 ± 0.1197,-0.8440 ± 0.2585,0.3674 ± 0.0406,0.9726 ± 0.0160
11,TextESWM,,,-0.0371 ± 0.0752,,,0.4806 ± 0.0395,0.6748 ± 0.0362,0.5349 ± 0.0482,0.6048 ± 0.0239,0.6507 ± 0.0638,0.4761 ± 0.0278,0.5634 ± 0.0251,0.7102 ± 0.1070,0.6289 ± 0.1627,0.6696 ± 0.0362,-0.6965 ± 0.1232,0.3907 ± 0.0193,0.9457 ± 0.0084
